user_name,gender,age_range,language,dialect,mean_freq_khz,peak_freq_khz,std_freq_khz,median_freq_khz,q1_freq_khz,q3_freq_khz,iqr_freq_khz,skewness,kurtosis,mode_freq_khz
1028,male,adult,en,american english,1.32287376960803,0.484375,0.0500267100879612,0.15625,0.125,0.2109375,0.0859375,0.22903700301565505,-1.247624115661255,0.125
1028,male,adult,en,american english,1.3148691286718512,0.1015625,0.05218546135245812,0.1640625,0.109375,0.2109375,0.1015625,0.061371650347654357,-1.4692027491433945,0.1015625
1028,male,adult,en,american english,1.3144569942166155,0.421875,0.049978847762459595,0.1640625,0.1171875,0.2109375,0.09375,-0.02356277973360247,-1.3961012339610244,0.203125
1337ad,female,adult,en,other,1.152873043124002,0.0078125,0.05083451145926761,0.203125,0.1484375,0.2265625,0.078125,-0.7373465262389883,-0.7837853734024378,0.2109375
1337ad,female,adult,en,other,0.7581176303117122,0.0078125,0.05745390839819028,0.1796875,0.109375,0.2265625,0.1171875,-0.07851620295676122,-1.5696961735193518,0.2265625
1337ad,female,adult,en,other,0.9835632132473913,0.0078125,0.04872801106577988,0.1953125,0.15625,0.2265625,0.0703125,-0.7297484835394216,-0.6662313751263564,0.1953125
1337ad,female,adult,en,other,0.9008156010405043,0.015625,0.04886161794908438,0.203125,0.1796875,0.232421875,0.052734375,-0.9689045813817858,-0.24029909825134554,0.203125
1337ad,female,adult,en,other,0.7916096175163,0.2265625,0.05740214044825083,0.2109375,0.1171875,0.2265625,0.109375,-0.49337062766236955,-1.438475641216945,0.2265625
1337ad,female,adult,en,other,0.926251858212143,0.0078125,0.047765670656595025,0.203125,0.171875,0.2265625,0.0546875,-0.8925927230471306,-0.2743584095198113,0.203125
1337ad,weiblich,erwachsener,en,westdeutschland,1.1190092016371274,0.0078125,0.04758548420710768,0.2109375,0.1796875,0.2265625,0.046875,-0.9530354663126879,-0.19621747028637415,0.2109375
1337ad,weiblich,erwachsener,en,westdeutschland,0.989782607675012,0.0078125,0.0491672061332614,0.203125,0.15625,0.2265625,0.0703125,-0.7447440169349745,-0.6142686813803597,0.203125
1337ad,weiblich,erwachsener,en,westdeutschland,0.798036233228819,0.0390625,0.04719198474916025,0.1953125,0.1484375,0.21484375,0.06640625,-0.7013893408326456,-0.7637210791852174,0.1953125
